,fips_code,blue_percentage
0,1001.0,0.2376967124494454
3,1003.0,0.193856010082445
6,1005.0,0.46527844111185407
9,1007.0,0.21249574781721284
12,1009.0,0.08425824605283727
15,1011.0,0.7494692144373672
18,1013.0,0.4267063673843335
21,1015.0,0.2766588667892362
24,1017.0,0.41611510791366907
27,1019.0,0.14413491102208142
30,1021.0,0.15847351516141325
33,1023.0,0.4263576522216127
36,1025.0,0.4411787276494513
39,1027.0,0.1867451690821256
42,1029.0,0.1037463976945245
45,1031.0,0.20325516444358838
48,1033.0,0.2934778246036524
51,1035.0,0.4677296886864085
54,1037.0,0.3392993145468393
57,1039.0,0.14974905897114177
60,1041.0,0.2655177916068294
63,1043.0,0.10028252316954031
66,1045.0,0.23537255320283748
69,1047.0,0.6830566198382291
72,1049.0,0.1402462634554325
75,1051.0,0.22659688674181427
78,1053.0,0.3102054563826204
81,1055.0,0.2364369169459288
84,1057.0,0.165110922536065
87,1059.0,0.18247508305647842
90,1061.0,0.12969892838918184
93,1063.0,0.8223360655737705
96,1065.0,0.5939054726368159
99,1067.0,0.2839444995044599
102,1069.0,0.25009967400736416
105,1071.0,0.17503812428516966
108,1073.0,0.5157055928676391
111,1075.0,0.14872236577662934
114,1077.0,0.25179000632511067
117,1079.0,0.24458830669633824
120,1081.0,0.35866939230626277
123,1083.0,0.23497294882612796
126,1085.0,0.7305505685218432
129,1087.0,0.8277899343544858
132,1089.0,0.38449344815134434
135,1091.0,0.5107331271602692
138,1093.0,0.11028958718422674
141,1095.0,0.1392286782195039
144,1097.0,0.417895413258306
147,1099.0,0.4217700321292961
150,1101.0,0.6144892467510795
153,1103.0,0.22221783429428954
156,1105.0,0.7245168624478969
159,1107.0,0.41626493397610564
162,1109.0,0.3839611178614824
165,1111.0,0.2248944733483852
168,1113.0,0.49745533859576235
171,1115.0,0.145546875
174,1117.0,0.22692436842001304
177,1119.0,0.740290126345344
180,1121.0,0.3628281497889664
183,1123.0,0.2832289849122447
186,1125.0,0.38406287787182586
189,1127.0,0.15258550488599348
192,1129.0,0.2782139927340912
195,1131.0,0.709218698921216
198,1133.0,0.08455347619509357
201,4001.0,0.6175843245001988
204,4003.0,0.3488953314005798
207,4005.0,0.5420179312190553
210,4007.0,0.3138669774112585
213,4009.0,0.27204549200593375
216,4011.0,0.3339449541284404
219,4012.0,0.2646614014451353
222,4013.0,0.44832998901669435
225,4015.0,0.21834306943697385
228,4017.0,0.4084727254678116
231,4019.0,0.5328265819182241
234,4021.0,0.3696910749849474
237,4023.0,0.7113734558510315
240,4025.0,0.3109654871122761
243,4027.0,0.46415770609318996
246,5001.0,0.312137797810689
249,5003.0,0.2979091921316343
252,5005.0,0.21091773752909035
255,5007.0,0.2892361398000496
258,5009.0,0.18161504562100428
261,5011.0,0.36052559540104023
264,5013.0,0.28162185985015425
267,5015.0,0.31065253764640266
270,5017.0,0.5627394636015326
273,5019.0,0.4245836265540699
276,5021.0,0.23057692307692307
279,5023.0,0.17385188249896566
282,5025.0,0.21556350626118068
285,5027.0,0.3533250815798357
288,5029.0,0.3350573987637189
291,5031.0,0.29623590925702076
294,5033.0,0.1999109131403118
297,5035.0,0.5272066198595787
300,5037.0,0.29080593540878674
303,5039.0,0.4204258390472754
306,5041.0,0.5233732675593141
309,5043.0,0.35860500379075055
312,5045.0,0.3078039851032045
315,5047.0,0.20324963072378138
318,5049.0,0.2235959765297569
321,5051.0,0.3017032226442838
324,5053.0,0.18441907320349227
327,5055.0,0.21034246575342466
330,5057.0,0.33721095190807204
333,5059.0,0.26364701942397856
336,5061.0,0.28904578519469404
339,5063.0,0.21162039077420303
342,5065.0,0.20429515418502203
345,5067.0,0.3070209464701319
348,5069.0,0.6090986328879278
351,5071.0,0.26635206321334504
354,5073.0,0.36083916083916084
357,5075.0,0.22216358839050132
360,5077.0,0.5733641771315268
363,5079.0,0.32723470987977
366,5081.0,0.2672661182322556
369,5083.0,0.21651306653200353
372,5085.0,0.20900369003690036
375,5087.0,0.23212980558397894
378,5089.0,0.2017728999577881
381,5091.0,0.265552172021627
384,5093.0,0.42941532868827625
387,5095.0,0.4549237170596394
390,5097.0,0.2101713964596797
393,5099.0,0.35643869377695625
396,5101.0,0.18625099920063948
399,5103.0,0.43492702566683444
402,5105.0,0.24361356247097074
405,5107.0,0.619876312383144
408,5109.0,0.1720673197689023
411,5111.0,0.24346024346024345
414,5113.0,0.14724820799416838
417,5115.0,0.22154282422792326
420,5117.0,0.23635307781649245
423,5119.0,0.5606223713198478
426,5121.0,0.22338924596331713
429,5123.0,0.5425302826379542
432,5125.0,0.2544337811900192
435,5127.0,0.17150997150997152
438,5129.0,0.16121244635193133
441,5131.0,0.2755561529672693
444,5133.0,0.2356422621657168
447,5135.0,0.20306249137812113
450,5137.0,0.21413314346742612
453,5139.0,0.34657274772108443
456,5141.0,0.21106417768088295
459,5143.0,0.407593359475208
462,5145.0,0.18994085014144532
465,5147.0,0.4348502528199144
468,5149.0,0.22984935548998292
471,6001.0,0.7869001293052061
474,6003.0,0.5548172757475083
477,6005.0,0.33855870080072176
480,6007.0,0.4349650496002679
483,6009.0,0.3433609958506224
486,6011.0,0.4012364294330519
489,6013.0,0.684908028101035
492,6015.0,0.36461602845783636
